t1_firstTower,t2_firstTower,t1_firstInhibitor,t2_firstInhibitor,t1_firstBaron,t2_firstBaron,t1_firstDragon,t2_firstDragon,t1_firstRiftHerald,t2_firstRiftHerald,t1_firstBlood,t2_firstBlood,t1_towerKills,t2_towerKills,t1_inhibitorKills,t2_inhibitorKills,t1_baronKills,t2_baronKills,t1_dragonKills,t2_dragonKills,winner
1,0,1,0,1,0,1,0,0,0,1,0,10,3,2,0,1,0,3,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,1,0,0,1,0,1,0,1,1,0,8,8,2,1,0,1,1,3,2
1,0,0,1,0,1,0,1,0,1,0,1,3,9,0,2,0,1,2,2,2
1,0,0,1,0,0,1,0,1,0,1,0,3,11,0,2,0,0,2,0,2
0,1,1,0,1,0,0,1,0,0,1,0,10,4,4,0,1,0,3,1,1
1,0,0,0,0,0,0,1,0,1,1,0,3,5,0,0,0,0,0,1,2
0,1,1,0,1,0,1,0,1,0,1,0,11,2,1,0,2,0,3,0,1
1,0,1,0,0,0,1,0,1,0,0,1,11,0,2,0,0,0,3,0,1
1,0,0,1,0,1,0,1,0,0,1,0,4,11,0,3,0,2,0,3,2
1,0,1,0,0,0,0,1,1,0,1,0,8,0,1,0,0,0,1,1,1
1,0,0,0,0,0,0,1,1,0,1,0,5,1,0,0,0,0,1,1,1
1,0,0,1,0,1,0,1,0,1,1,0,2,8,0,2,0,1,1,2,2
0,1,0,1,1,0,1,0,0,0,1,0,5,7,0,2,1,0,4,1,2
1,0,1,0,1,0,1,0,0,0,0,1,9,7,3,2,1,0,5,0,1
1,0,1,0,1,0,1,0,1,0,1,0,10,7,3,1,1,1,3,2,2
1,0,0,1,0,1,0,1,0,1,1,0,6,11,0,5,0,1,0,5,2
1,0,1,0,0,0,1,0,0,0,1,0,6,0,1,0,0,0,1,0,1
0,1,0,1,1,0,1,0,1,0,0,1,5,10,0,2,1,0,2,2,2
1,0,0,0,0,0,0,1,0,0,0,1,1,3,0,0,0,0,0,1,2
0,1,0,1,0,1,0,1,0,0,0,1,1,10,0,3,0,1,1,2,2
0,1,0,0,0,0,0,1,0,0,0,1,1,6,0,0,0,0,0,1,2
1,0,1,0,0,0,1,0,1,0,1,0,10,0,2,0,0,0,2,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,1,0,1,0,1,0,1,1,0,0,1,1,11,0,3,0,1,0,2,2
1,0,1,0,0,1,0,1,0,0,1,0,8,8,2,1,0,3,3,3,2
0,1,0,1,0,1,0,1,0,0,1,0,3,10,0,2,0,2,2,2,2
0,1,1,0,0,1,0,1,0,0,1,0,9,5,3,0,0,1,2,3,1
0,1,0,1,1,0,1,0,0,0,1,0,8,9,1,3,1,0,2,1,1
1,0,1,0,1,0,1,0,0,0,0,1,11,0,2,0,1,0,3,0,1
1,0,1,0,1,0,1,0,0,0,1,0,11,3,2,0,1,0,2,0,2
1,0,0,1,0,1,0,1,0,0,0,1,1,11,0,4,0,1,0,3,2
0,1,0,1,0,1,0,1,0,1,1,0,5,8,0,2,0,3,2,3,2
0,1,0,1,0,1,0,1,0,1,0,1,0,11,0,2,0,1,0,2,2
0,1,0,1,0,1,1,0,1,0,0,1,4,8,0,2,0,2,2,2,2
1,0,1,0,0,0,1,0,0,0,0,1,10,4,2,0,0,0,3,0,1
0,1,1,0,1,0,0,1,0,0,0,1,10,11,4,6,1,2,1,4,2
0,1,0,1,1,0,0,1,0,0,0,1,2,10,0,2,1,0,0,5,2
1,0,0,1,0,1,0,1,0,0,1,0,3,9,0,1,0,1,1,2,2
1,0,1,0,0,1,0,1,0,0,1,0,6,10,1,3,0,2,1,4,2
1,0,1,0,1,0,0,1,0,0,0,1,10,2,2,0,1,0,2,1,1
1,0,0,1,0,0,0,1,1,0,1,0,3,10,0,3,0,0,0,4,2
1,0,1,0,0,0,0,1,0,1,1,0,5,0,1,0,0,0,1,1,1
1,0,1,0,0,0,1,0,0,0,1,0,7,0,1,0,0,0,2,0,1
0,1,0,1,0,1,1,0,0,1,1,0,4,9,0,2,0,1,1,1,2
1,0,1,0,1,0,1,0,0,0,1,0,9,3,2,0,1,0,4,0,1
0,1,0,1,0,0,0,1,0,0,0,1,0,10,0,2,0,0,0,1,2
1,0,1,0,1,0,1,0,1,0,1,0,9,1,1,0,1,0,2,0,1
1,0,1,0,0,1,1,0,1,0,0,1,8,3,2,0,1,1,4,0,1
0,1,0,1,0,1,0,1,0,0,1,0,7,10,0,2,0,1,1,3,2
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
